grouped,year,category,avgmedianPrice
East Asia & Pacific,2025,oil and fats,3.64
East Asia & Pacific,2025,pulses and nuts,2.3025
East Asia & Pacific,2025,vegetables and fruits,1.592
Europe & Central Asia,2017,cereals and tubers,0.53
Europe & Central Asia,2017,"meat, fish and eggs",3.8174999999999994
Europe & Central Asia,2017,milk and dairy,1.1633333333333333
Europe & Central Asia,2017,miscellaneous food,0.9730000000000001
Europe & Central Asia,2017,non-food,0.9380000000000001
Europe & Central Asia,2017,oil and fats,2.22
Europe & Central Asia,2017,pulses and nuts,1.8087499999999999
Europe & Central Asia,2017,vegetables and fruits,0.528
Europe & Central Asia,2018,cereals and tubers,0.5455555555555556
Europe & Central Asia,2018,"meat, fish and eggs",3.910833333333333
Europe & Central Asia,2018,milk and dairy,1.2691666666666668
Europe & Central Asia,2018,miscellaneous food,0.944
Europe & Central Asia,2018,non-food,0.8710000000000001
Europe & Central Asia,2018,oil and fats,2.1708333333333334
Europe & Central Asia,2018,pulses and nuts,1.63375
Europe & Central Asia,2018,vegetables and fruits,0.51
Europe & Central Asia,2019,cereals and tubers,0.5812499999999999
Europe & Central Asia,2019,"meat, fish and eggs",4.075833333333334
Europe & Central Asia,2019,milk and dairy,1.3150000000000002
Europe & Central Asia,2019,miscellaneous food,1.752
Europe & Central Asia,2019,non-food,0.821
Europe & Central Asia,2019,oil and fats,1.9233333333333331
Europe & Central Asia,2019,pulses and nuts,1.44
Europe & Central Asia,2019,vegetables and fruits,0.531
Europe & Central Asia,2020,cereals and tubers,0.5856250000000001
Europe & Central Asia,2020,"meat, fish and eggs",4.1691666666666665
Europe & Central Asia,2020,milk and dairy,1.2783333333333333
Europe & Central Asia,2020,miscellaneous food,1.7120000000000002
Europe & Central Asia,2020,non-food,0.74
Europe & Central Asia,2020,oil and fats,1.575
Europe & Central Asia,2020,pulses and nuts,1.4562499999999998
Europe & Central Asia,2020,vegetables and fruits,0.484
Europe & Central Asia,2021,cereals and tubers,0.6849999999999999
Europe & Central Asia,2021,"meat, fish and eggs",4.042
Europe & Central Asia,2021,milk and dairy,1.579
Europe & Central Asia,2021,miscellaneous food,1.288
Europe & Central Asia,2021,non-food,0.8220000000000001
Europe & Central Asia,2021,oil and fats,2.44
Europe & Central Asia,2021,pulses and nuts,1.5425
Europe & Central Asia,2021,vegetables and fruits,0.548
Europe & Central Asia,2022,cereals and tubers,0.8642857142857142
Europe & Central Asia,2022,"meat, fish and eggs",4.240833333333334
Europe & Central Asia,2022,milk and dairy,1.2458333333333333
Europe & Central Asia,2022,miscellaneous food,1.7175
Europe & Central Asia,2022,non-food,0.985
Europe & Central Asia,2022,oil and fats,3.3349999999999995
Europe & Central Asia,2022,pulses and nuts,1.793
Europe & Central Asia,2022,vegetables and fruits,0.71
Europe & Central Asia,2023,cereals and tubers,0.8916666666666666
Europe & Central Asia,2023,"meat, fish and eggs",4.651666666666666
Europe & Central Asia,2023,milk and dairy,1.5433333333333332
Europe & Central Asia,2023,miscellaneous food,2.044166666666667
Europe & Central Asia,2023,non-food,0.994
Europe & Central Asia,2023,oil and fats,4.770833333333333
Europe & Central Asia,2023,pulses and nuts,1.7289999999999999
Europe & Central Asia,2023,vegetables and fruits,0.7041666666666666
Europe & Central Asia,2024,cereals and tubers,0.82
Europe & Central Asia,2024,"meat, fish and eggs",4.569166666666667
Europe & Central Asia,2024,milk and dairy,1.3741666666666665
Europe & Central Asia,2024,miscellaneous food,1.1216666666666668
Europe & Central Asia,2024,non-food,1.105
Europe & Central Asia,2024,oil and fats,4.948333333333333
Europe & Central Asia,2024,pulses and nuts,1.777
Europe & Central Asia,2024,vegetables and fruits,0.8033333333333333
Europe & Central Asia,2025,cereals and tubers,2.6446963899157483
Europe & Central Asia,2025,"meat, fish and eggs",6.247196389915747
Europe & Central Asia,2025,milk and dairy,3.8471963899157484
Europe & Central Asia,2025,miscellaneous food,3.4255297232490816
Europe & Central Asia,2025,non-food,1.073
Europe & Central Asia,2025,oil and fats,4.7821963899157485
Europe & Central Asia,2025,pulses and nuts,3.7766356678988986
Europe & Central Asia,2025,vegetables and fruits,2.6455297232490818
Latin America & Caribbean,2017,cereals and tubers,24.94
Latin America & Caribbean,2017,"meat, fish and eggs",2.3578571428571427
Latin America & Caribbean,2017,milk and dairy,1.4469999999999998
Latin America & Caribbean,2017,miscellaneous food,4.67
Latin America & Caribbean,2017,non-food,2.0435
Latin America & Caribbean,2017,oil and fats,2.82125
Latin America & Caribbean,2017,pulses and nuts,18.609444444444446
Latin America & Caribbean,2017,vegetables and fruits,3.9499999999999997
Latin America & Caribbean,2018,cereals and tubers,7.235357142857143
Latin America & Caribbean,2018,"meat, fish and eggs",2.2085714285714286
Latin America & Caribbean,2018,milk and dairy,1.126
Latin America & Caribbean,2018,miscellaneous food,3.7971428571428567
Latin America & Caribbean,2018,non-food,2.1951383333333334
Latin America & Caribbean,2018,oil and fats,2.785
Latin America & Caribbean,2018,pulses and nuts,21.083333333333332
Latin America & Caribbean,2018,vegetables and fruits,4.23
Latin America & Caribbean,2019,cereals and tubers,6.9799999999999995
Latin America & Caribbean,2019,"meat, fish and eggs",2.0907142857142857
Latin America & Caribbean,2019,milk and dairy,1.5599999999999998
Latin America & Caribbean,2019,miscellaneous food,3.6342857142857143
Latin America & Caribbean,2019,non-food,2.1467733333333334
Latin America & Caribbean,2019,oil and fats,2.6574999999999998
Latin America & Caribbean,2019,pulses and nuts,16.450555555555557
Latin America & Caribbean,2019,vegetables and fruits,4.071666666666666
Latin America & Caribbean,2020,cereals and tubers,6.499642857142858
Latin America & Caribbean,2020,"meat, fish and eggs",2.1792857142857143
Latin America & Caribbean,2020,milk and dairy,1.7625000000000002
Latin America & Caribbean,2020,miscellaneous food,3.181875
Latin America & Caribbean,2020,non-food,2.23
Latin America & Caribbean,2020,oil and fats,2.653
Latin America & Caribbean,2020,pulses and nuts,19.455
Latin America & Caribbean,2020,vegetables and fruits,3.01125
Latin America & Caribbean,2021,cereals and tubers,5.567857142857143
Latin America & Caribbean,2021,"meat, fish and eggs",12.172857142857142
Latin America & Caribbean,2021,milk and dairy,1.915
Latin America & Caribbean,2021,miscellaneous food,3.266428571428571
Latin America & Caribbean,2021,oil and fats,3.8087500000000003
Latin America & Caribbean,2021,pulses and nuts,21.049
Latin America & Caribbean,2021,vegetables and fruits,3.2475
Latin America & Caribbean,2022,cereals and tubers,4.7266666666666675
Latin America & Caribbean,2022,"meat, fish and eggs",2.4957142857142856
Latin America & Caribbean,2022,milk and dairy,2.5490000000000004
Latin America & Caribbean,2022,miscellaneous food,6.182499999999999
Latin America & Caribbean,2022,oil and fats,4.63
Latin America & Caribbean,2022,pulses and nuts,13.205
Latin America & Caribbean,2022,vegetables and fruits,2.824
Latin America & Caribbean,2023,cereals and tubers,1.5633333333333332
Latin America & Caribbean,2023,"meat, fish and eggs",3.647
Latin America & Caribbean,2023,milk and dairy,3.096
Latin America & Caribbean,2023,miscellaneous food,1.8233333333333333
Latin America & Caribbean,2023,oil and fats,4.585
Latin America & Caribbean,2023,pulses and nuts,3.155
Latin America & Caribbean,2023,vegetables and fruits,0.6637500000000001
Latin America & Caribbean,2024,cereals and tubers,1.6499999999999997
Latin America & Caribbean,2024,"meat, fish and eggs",3.556
Latin America & Caribbean,2024,milk and dairy,3.2630000000000003
Latin America & Caribbean,2024,miscellaneous food,2.080833333333333
Latin America & Caribbean,2024,oil and fats,4.504
Latin America & Caribbean,2024,pulses and nuts,3.6700000000000004
Latin America & Caribbean,2024,vegetables and fruits,0.8524999999999999
Latin America & Caribbean,2025,cereals and tubers,6.025
Latin America & Caribbean,2025,"meat, fish and eggs",4.16625
Latin America & Caribbean,2025,milk and dairy,2.3
Latin America & Caribbean,2025,miscellaneous food,1.9562499999999998
Latin America & Caribbean,2025,oil and fats,4.913333333333333
Latin America & Caribbean,2025,pulses and nuts,24.0675
Latin America & Caribbean,2025,vegetables and fruits,13.616249999999999
Middle East & North Africa,2017,cereals and tubers,1.4066666666666667
Middle East & North Africa,2017,"meat, fish and eggs",3.9155555555555557
Middle East & North Africa,2017,milk and dairy,2.1214285714285714
Middle East & North Africa,2017,miscellaneous food,1.141875
Middle East & North Africa,2017,non-food,3.861875
Middle East & North Africa,2017,oil and fats,3.001111111111111
Middle East & North Africa,2017,pulses and nuts,1.8900000000000001
Middle East & North Africa,2017,vegetables and fruits,0.96375
Middle East & North Africa,2018,cereals and tubers,1.3655555555555554
Middle East & North Africa,2018,"meat, fish and eggs",4.128333333333334
Middle East & North Africa,2018,milk and dairy,2.117857142857143
Middle East & North Africa,2018,miscellaneous food,1.011875
Middle East & North Africa,2018,non-food,3.86625
Middle East & North Africa,2018,oil and fats,3.3872222222222224
Middle East & North Africa,2018,pulses and nuts,1.8172222222222223
Middle East & North Africa,2018,vegetables and fruits,1.00375
Middle East & North Africa,2019,cereals and tubers,1.4344444444444444
Middle East & North Africa,2019,"meat, fish and eggs",4.2
Middle East & North Africa,2019,milk and dairy,2.71375
Middle East & North Africa,2019,miscellaneous food,0.9244444444444445
Middle East & North Africa,2019,non-food,3.248333333333333
Middle East & North Africa,2019,oil and fats,3.3329999999999997
Middle East & North Africa,2019,pulses and nuts,1.748
Middle East & North Africa,2019,vegetables and fruits,1.0794444444444444
Middle East & North Africa,2020,cereals and tubers,1.6172222222222221
Middle East & North Africa,2020,"meat, fish and eggs",5.063
Middle East & North Africa,2020,milk and dairy,3.810625
Middle East & North Africa,2020,miscellaneous food,1.116111111111111
Middle East & North Africa,2020,non-food,3.4161111111111113
Middle East & North Africa,2020,oil and fats,4.970000000000001
Middle East & North Africa,2020,pulses and nuts,2.2704999999999997
Middle East & North Africa,2020,vegetables and fruits,1.2572222222222222
Middle East & North Africa,2021,cereals and tubers,1.841818181818182
Middle East & North Africa,2021,"meat, fish and eggs",20.59
Middle East & North Africa,2021,milk and dairy,3.5072222222222225
Middle East & North Africa,2021,miscellaneous food,2.0290909090909093
Middle East & North Africa,2021,non-food,5.7988888888888885
Middle East & North Africa,2021,oil and fats,11.578636363636363
Middle East & North Africa,2021,pulses and nuts,3.4295454545454547
Middle East & North Africa,2021,vegetables and fruits,1.0825
Middle East & North Africa,2022,cereals and tubers,2.799090909090909
Middle East & North Africa,2022,"meat, fish and eggs",27.970000000000002
Middle East & North Africa,2022,milk and dairy,10.504999999999999
Middle East & North Africa,2022,miscellaneous food,4.265
Middle East & North Africa,2022,non-food,36.69888888888889
Middle East & North Africa,2022,oil and fats,29.76954545454545
Middle East & North Africa,2022,pulses and nuts,6.254090909090909
Middle East & North Africa,2022,vegetables and fruits,2.1254545454545455
Middle East & North Africa,2023,cereals and tubers,4.121363636363636
Middle East & North Africa,2023,"meat, fish and eggs",28.539545454545454
Middle East & North Africa,2023,milk and dairy,6.7095
Middle East & North Africa,2023,miscellaneous food,2.7195454545454543
Middle East & North Africa,2023,non-food,13.656666666666666
