country,year,category,sumPrice,meanPrice,medianPrice
TUR,2017,oil and fats,307.56,5.126,4.8100000000000005
TUR,2017,pulses and nuts,340.5,3.371287128712871,3.0
TUR,2017,vegetables and fruits,327.89,1.1668683274021352,0.76
TZA,2017,cereals and tubers,14458.07,10.160274068868588,0.67
TZA,2017,"meat, fish and eggs",2474.76,3.2223437500000003,3.14
TZA,2017,miscellaneous food,239.79,1.1640291262135922,1.14
TZA,2017,oil and fats,798.85,2.55223642172524,2.08
TZA,2017,pulses and nuts,10970.4,12.24375,0.98
TZA,2017,vegetables and fruits,657.064,0.5625547945205479,0.53
UGA,2017,cereals and tubers,146.16,0.5754330708661417,0.56
UGA,2017,oil and fats,78.75,1.7119565217391304,1.66
UGA,2017,pulses and nuts,46.15,0.72109375,0.72
UGA,2017,vegetables and fruits,8.62,0.3448,0.35
UKR,2017,cereals and tubers,684.31,0.5013260073260073,0.43
UKR,2017,"meat, fish and eggs",2316.1,2.420167189132706,2.48
UKR,2017,milk and dairy,1096.01,1.9641756272401432,1.65
UKR,2017,miscellaneous food,105.07,0.5741530054644809,0.59
UKR,2017,non-food,345.75,0.90748031496063,0.91
UKR,2017,oil and fats,1677.72,2.7962,1.6150000000000002
UKR,2017,vegetables and fruits,182.61,0.2491268758526603,0.21
VEN,2017,non-food,0.1649000278,0.0183222253111111,0.0055
VNM,2017,cereals and tubers,7.9,0.3291666666666666,0.335
YEM,2017,cereals and tubers,933.42,1.0523337091319052,0.8
YEM,2017,"meat, fish and eggs",29666.81,62.85341101694915,4.4
YEM,2017,miscellaneous food,295.93,0.7726631853785901,0.97
YEM,2017,non-food,10776.16,7.842911208151382,3.21
YEM,2017,oil and fats,315.36,1.5534975369458128,1.51
YEM,2017,pulses and nuts,1416.32,1.8684960422163588,2.0
YEM,2017,vegetables and fruits,398.98,0.9999498746867168,0.95
ZAF,2017,cereals and tubers,7.7,0.2138888888888889,0.165
ZMB,2017,cereals and tubers,982.687,0.5505249299719888,0.34
ZMB,2017,non-food,25.66,1.2219047619047618,1.22
ZMB,2017,pulses and nuts,2006.76,1.8896045197740112,1.835
ZWE,2017,cereals and tubers,198.05,0.4682033096926714,0.4
ZWE,2017,miscellaneous food,22.2,1.1684210526315788,1.1
ZWE,2017,oil and fats,328.94,2.018036809815951,2.0
ZWE,2017,pulses and nuts,420.97,1.9857075471698111,2.0
AFG,2018,cereals and tubers,146.64,0.4887999999999999,0.41
AFG,2018,non-food,1479.39,3.852578125,2.15
AGO,2018,cereals and tubers,100.05,1.7552631578947369,2.0
AGO,2018,"meat, fish and eggs",20.22,10.11,10.11
AGO,2018,milk and dairy,408.01,34.00083333333333,33.335
AGO,2018,miscellaneous food,19.6,2.45,3.035
AGO,2018,oil and fats,105.87,5.572105263157895,6.12
AGO,2018,pulses and nuts,1.13,1.13,1.13
ARG,2018,cereals and tubers,57.93,0.8777272727272727,0.765
ARG,2018,"meat, fish and eggs",9.32,3.106666666666667,2.89
ARG,2018,milk and dairy,11.69,0.9741666666666666,0.895
ARG,2018,miscellaneous food,11.57,0.9641666666666668,0.915
ARM,2018,cereals and tubers,748.71,0.9549872448979592,0.92
ARM,2018,"meat, fish and eggs",2566.538,4.207439344262295,4.7
ARM,2018,milk and dairy,663.96,2.7211475409836066,2.325
ARM,2018,miscellaneous food,375.67,1.0377624309392266,0.7
ARM,2018,non-food,231.03,0.9429795918367349,0.94
ARM,2018,oil and fats,180.56,1.48,1.48
ARM,2018,pulses and nuts,671.65,2.029154078549849,1.75
ARM,2018,vegetables and fruits,676.79,0.7943544600938967,0.6
BDI,2018,cereals and tubers,1691.069,0.5499411382113821,0.45
BDI,2018,"meat, fish and eggs",5461.46,5.754963119072708,3.97
BDI,2018,miscellaneous food,228.49,0.5492548076923077,0.56
BDI,2018,non-food,1395.98,1.6618809523809523,1.65
BDI,2018,oil and fats,1189.0,1.64,1.55
BDI,2018,pulses and nuts,351.81,0.5575435816164818,0.56
BDI,2018,vegetables and fruits,598.79,0.6289810924369748,0.55
BEN,2018,cereals and tubers,55.06,0.5920430107526882,0.57
BFA,2018,cereals and tubers,9591.22,5.406550169109357,0.39
BFA,2018,pulses and nuts,552.45,0.646140350877193,0.64
BGD,2018,cereals and tubers,847.04,5.882222222222222,0.415
BGD,2018,oil and fats,36.71,0.8537209302325581,0.86
BGD,2018,pulses and nuts,36.03,0.750625,0.74
BLR,2018,cereals and tubers,26.56,0.7377777777777779,0.54
BOL,2018,cereals and tubers,8012.467,9.65357469879518,1.38
BOL,2018,"meat, fish and eggs",3379.19,14.25818565400844,2.25
BOL,2018,milk and dairy,39.39,0.7161818181818181,0.73
BOL,2018,miscellaneous food,78.12,0.744,0.84
