Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sierra Leone,SLE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,621.753941948083,600.624042712731,645.43818911157,598.503210957951,562.9268555965,..,..,..
Singapore,SGP,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,47386.5222814449,46609.4114108148,45119.2264352598,40843.7227154439,48060.9990991273,..,..,..
Sint Maarten (Dutch part),SXM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Slovak Republic,SVK,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,13775.0880657859,14309.538685071,14487.7170223655,14021.0401436214,14390.0043650796,..,..,..
Slovenia,SVN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,17786.5805170108,18697.918096387,19339.1462420635,18376.4981058059,19634.8145674351,..,..,..
Small states,SST,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Solomon Islands,SLB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1842.88664339748,1976.95377177689,1967.69655069392,1802.13193990116,1698.29738678791,..,..,..
South Africa,ZAF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5079.84425864932,5030.08026752036,5008.93609299104,4702.60826768734,4947.25609049693,..,..,..
South Asia,SAS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1577.80228089503,1655.80522270447,1700.50436348316,1588.13934113319,1729.5479061202,..,..,..
South Asia (IDA & IBRD),TSA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1577.80228089503,1655.80522270447,1700.50436348316,1588.13934113319,1729.5479061202,..,..,..
South Sudan,SSD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Spain,ESP,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,23069.5766073961,23513.1691980739,23809.4092691807,20618.6200484019,21790.7273419025,..,..,..
Sri Lanka,LKA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4031.9442656321,4066.87447571206,4010.78171191881,3864.97410442211,3890.3790177573,..,..,..
St. Kitts and Nevis,KNA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
St. Lucia,LCA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
St. Martin (French part),MAF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Sub-Saharan Africa,SSF,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Sub-Saharan Africa (excluding high income),SSA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Sudan,SDN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Suriname,SUR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Sweden,SWE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,44467.766078117,44482.5169578633,45574.3510514851,44348.8439597087,46079.3680149999,..,..,..
Switzerland,CHE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,63688.9938316475,62877.8842125054,63360.2276619584,59464.1080662167,63884.7341997849,..,..,..
Syrian Arab Republic,SYR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Tajikistan,TJK,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1159.36631635505,1143.41151781745,1159.10193172844,1155.80310253425,1152.25415886658,..,..,..
Tanzania,TZA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,858.932250976563,881.684265136719,901.88232421875,891.093627929688,899.41943359375,..,..,..
Thailand,THA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Timor-Leste,TLS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1247.2286047441,1018.0377967659,1353.33304554876,1167.72059434278,393.879790459374,..,..,..
Togo,TGO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,676.854336055152,721.003755408341,757.412415397753,734.506637519144,735.376825354262,..,..,..
Tonga,TON,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4492.25375170561,4491.41888289246,4889.09544840077,4929.09488065879,4552.412642403,..,..,..
Trinidad and Tobago,TTO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Tunisia,TUN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3393.66868484137,3522.52980569459,3572.04822147165,3159.59216126303,3298.7260885395,..,..,..
Turkiye,TUR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Turkmenistan,TKM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
Tuvalu,TUV,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..,..,..,..,..
