country,year,category,sumPrice,meanPrice
LBY,2017,non-food,87.1,6.221428571428571
LBY,2017,oil and fats,227.7,2.7107142857142854
LBY,2017,pulses and nuts,331.29,2.0705625000000003
LBY,2017,vegetables and fruits,546.72,2.1695238095238096
LKA,2017,cereals and tubers,194.07,0.5863141993957703
LKA,2017,miscellaneous food,116.35,0.7094512195121951
LKA,2017,non-food,229.01,0.6918731117824773
LSO,2017,cereals and tubers,1248.43,4.217668918918919
LSO,2017,oil and fats,124.5,1.398876404494382
LSO,2017,pulses and nuts,149.82,0.7843979057591622
MDA,2017,cereals and tubers,10.26,0.2931428571428571
MDG,2017,cereals and tubers,89.18,0.6557352941176471
MDG,2017,miscellaneous food,58.62,0.8374285714285714
MDG,2017,non-food,105.82,1.102291666666667
MDG,2017,oil and fats,79.1,1.2967213114754097
MEX,2017,cereals and tubers,49.21,0.6001219512195122
MEX,2017,pulses and nuts,79.49,1.1520289855072463
MLI,2017,cereals and tubers,1450.41,0.4726001955034213
MLI,2017,pulses and nuts,1011.47,0.8359256198347108
MMR,2017,cereals and tubers,100.25,0.4890243902439024
MMR,2017,miscellaneous food,59.41,0.3062371134020618
MMR,2017,non-food,1223.66,3.082267002518892
MMR,2017,oil and fats,299.3,1.418483412322275
MMR,2017,pulses and nuts,269.09,1.365939086294416
MNG,2017,cereals and tubers,52.75,0.4795454545454545
MNG,2017,"meat, fish and eggs",222.63,2.368404255319149
MNG,2017,milk and dairy,29.55,0.615625
MOZ,2017,cereals and tubers,642.192,0.6364638255698711
MOZ,2017,miscellaneous food,172.76,1.0934177215189873
MOZ,2017,oil and fats,258.21,1.5841104294478527
MOZ,2017,pulses and nuts,777.84,1.0970944992947815
MRT,2017,cereals and tubers,289.61,0.6478970917225951
MRT,2017,"meat, fish and eggs",8.129999999999999,0.4278947368421052
MRT,2017,miscellaneous food,92.94,0.7618032786885246
MRT,2017,oil and fats,161.13,1.2394615384615384
MWI,2017,cereals and tubers,866.2090000000001,0.8095411214953272
MWI,2017,non-food,23.78,1.0809090909090908
MWI,2017,pulses and nuts,440.6,0.9834821428571427
NAM,2017,cereals and tubers,404.908,0.8633432835820896
NER,2017,cereals and tubers,6527.792,4.580906666666667
NGA,2017,cereals and tubers,63368.16,30.1609519276535
NGA,2017,"meat, fish and eggs",1458.11,2.875956607495069
NGA,2017,milk and dairy,443.47,3.491889763779527
NGA,2017,miscellaneous food,118.4,1.0862385321100918
NGA,2017,non-food,133.56,0.6098630136986302
NGA,2017,oil and fats,1080.71,2.7569132653061224
NGA,2017,pulses and nuts,31152.94,38.22446625766871
NGA,2017,vegetables and fruits,312.122,0.4359245810055866
NIC,2017,cereals and tubers,1460.37,8.90469512195122
NIC,2017,"meat, fish and eggs",198.24,2.509367088607595
NIC,2017,milk and dairy,36.56,1.828
NIC,2017,miscellaneous food,88.96000000000001,1.3082352941176472
NIC,2017,non-food,45.59,3.2564285714285712
NIC,2017,oil and fats,31.209999999999997,1.2003846153846154
NIC,2017,pulses and nuts,596.41,15.292564102564102
NIC,2017,vegetables and fruits,78.83,0.4748795180722891
NPL,2017,cereals and tubers,24.68,0.4113333333333333
PAK,2017,cereals and tubers,77.79,0.4602958579881657
PAK,2017,"meat, fish and eggs",100.51,1.1965476190476192
PAK,2017,milk and dairy,34.27,0.7969767441860466
PAK,2017,miscellaneous food,26.249,0.320109756097561
PAK,2017,non-food,333.93,2.4553676470588237
PAK,2017,oil and fats,150.92,1.7548837209302324
PAK,2017,pulses and nuts,176.68,1.348702290076336
PAN,2017,cereals and tubers,606.22,12.629583333333334
PAN,2017,pulses and nuts,2057.67,41.153400000000005
PER,2017,cereals and tubers,115.24,1.0020869565217392
PER,2017,"meat, fish and eggs",22.38,2.4866666666666664
PER,2017,miscellaneous food,7.2,0.9
PER,2017,oil and fats,13.16,2.193333333333334
PHL,2017,cereals and tubers,538.88,0.8030998509687034
PHL,2017,"meat, fish and eggs",1832.995,2.760534638554217
PHL,2017,pulses and nuts,155.74,1.656808510638298
PHL,2017,vegetables and fruits,1071.27,1.287584134615385
PSE,2017,cereals and tubers,6039.22,15.21214105793451
PSE,2017,"meat, fish and eggs",4447.6,8.16073394495413
PSE,2017,milk and dairy,3060.44,7.0517050691244245
PSE,2017,miscellaneous food,464.54,1.7078676470588237
PSE,2017,non-food,192.55,1.2503246753246755
PSE,2017,oil and fats,1345.57,7.352841530054644
PSE,2017,pulses and nuts,435.51,2.3669021739130436
PSE,2017,vegetables and fruits,584.83,1.165
RUS,2017,cereals and tubers,18.56,0.2689855072463768
RWA,2017,cereals and tubers,424.21,0.5686461126005362
RWA,2017,"meat, fish and eggs",325.28000000000003,2.126013071895425
RWA,2017,miscellaneous food,138.52,0.7447311827956989
RWA,2017,oil and fats,270.71999999999997,1.7810526315789472
RWA,2017,pulses and nuts,53.96,0.5188461538461538
RWA,2017,vegetables and fruits,50.904,0.295953488372093
SDN,2017,cereals and tubers,12668.05,31.35655940594059
SDN,2017,non-food,28.0,3.111111111111111
SEN,2017,cereals and tubers,662.11,0.4241575912876361
SLE,2017,cereals and tubers,161.744,0.4126122448979591
SLE,2017,"meat, fish and eggs",588.15,2.8690243902439025
SLE,2017,miscellaneous food,407.29,3.806448598130842
SLE,2017,oil and fats,297.03,1.31429203539823
SLE,2017,pulses and nuts,230.75,1.0833333333333333
SLV,2017,cereals and tubers,1307.3,15.38
SLV,2017,pulses and nuts,1884.36,36.23769230769231
SOM,2017,cereals and tubers,18565.94,29.330078988941548
SOM,2017,"meat, fish and eggs",105266.61,1096.5271875
SOM,2017,milk and dairy,2675.46,56.92468085106383
SOM,2017,non-food,6678.63,36.100702702702705
SOM,2017,oil and fats,4971.67,58.490235294117646
SSD,2017,cereals and tubers,435.43,2.3285026737967915
SSD,2017,non-food,186.62,1.794423076923077
SSD,2017,oil and fats,176.14,2.4128767123287673
SSD,2017,pulses and nuts,423.82,2.4357471264367816
SWZ,2017,cereals and tubers,410.61,1.7037759336099585
SWZ,2017,miscellaneous food,72.69,0.8551764705882353
SWZ,2017,oil and fats,11.74,1.4675
SWZ,2017,pulses and nuts,64.53,1.500697674418605
SWZ,2017,vegetables and fruits,35.25,0.9527027027027029
SYR,2017,cereals and tubers,896.771,0.605108636977058
SYR,2017,"meat, fish and eggs",49234.38,49.33304609218437
SYR,2017,milk and dairy,834.38,1.713305954825462
SYR,2017,miscellaneous food,2723.44,2.875860612460402
SYR,2017,non-food,4025.918,5.235263979193758
SYR,2017,oil and fats,440.42,1.7070542635658916
SYR,2017,pulses and nuts,887.21,1.2136935704514364
SYR,2017,vegetables and fruits,681.32,0.9449653259361998
TCD,2017,cereals and tubers,324.19,0.4271277997364954
TCD,2017,"meat, fish and eggs",5911.82,27.243410138248848
TCD,2017,non-food,1.99,0.995
TGO,2017,cereals and tubers,90.93,0.4968852459016394
THA,2017,cereals and tubers,10.79,0.2997222222222222
THA,2017,"meat, fish and eggs",17.46,1.455
TJK,2017,cereals and tubers,126.88,0.4681918819188191
TJK,2017,"meat, fish and eggs",408.36,2.686578947368421
TJK,2017,milk and dairy,18.88,0.5102702702702703
TJK,2017,miscellaneous food,264.86,1.6657861635220126
TJK,2017,non-food,784.81,3.2430165289256196
TJK,2017,oil and fats,107.8,1.382051282051282
TJK,2017,pulses and nuts,173.51,1.410650406504065
TJK,2017,vegetables and fruits,42.78,0.350655737704918
TLS,2017,cereals and tubers,56.01,1.6473529411764705
TLS,2017,"meat, fish and eggs",26.88,2.4436363636363634
TLS,2017,non-food,29.14,1.2669565217391303
TUR,2017,cereals and tubers,156.44,0.959754601226994
TUR,2017,"meat, fish and eggs",899.26,5.955364238410596
TUR,2017,milk and dairy,708.3,6.810576923076923
TUR,2017,miscellaneous food,1064.44,5.3222000000000005
TUR,2017,non-food,747.43,5.619774436090225
TUR,2017,oil and fats,307.56,5.126
TUR,2017,pulses and nuts,340.5,3.371287128712871
TUR,2017,vegetables and fruits,327.89,1.1668683274021352
TZA,2017,cereals and tubers,14458.07,10.160274068868588
TZA,2017,"meat, fish and eggs",2474.76,3.2223437500000003
TZA,2017,miscellaneous food,239.79,1.1640291262135922
TZA,2017,oil and fats,798.85,2.55223642172524
TZA,2017,pulses and nuts,10970.4,12.24375
TZA,2017,vegetables and fruits,657.064,0.5625547945205479
UGA,2017,cereals and tubers,146.16,0.5754330708661417
UGA,2017,oil and fats,78.75,1.7119565217391304
UGA,2017,pulses and nuts,46.15,0.72109375
UGA,2017,vegetables and fruits,8.62,0.3448
UKR,2017,cereals and tubers,684.31,0.5013260073260073
UKR,2017,"meat, fish and eggs",2316.1,2.420167189132706
UKR,2017,milk and dairy,1096.01,1.9641756272401432
UKR,2017,miscellaneous food,105.07,0.5741530054644809
UKR,2017,non-food,345.75,0.90748031496063
UKR,2017,oil and fats,1677.72,2.7962
UKR,2017,vegetables and fruits,182.61,0.2491268758526603
VEN,2017,non-food,0.1649000278,0.0183222253111111
