country,category,usdprice
UGA,milk and dairy,2.42
UGA,miscellaneous food,3.7800000000000002
UGA,oil and fats,155.48
UGA,pulses and nuts,114.52
UGA,vegetables and fruits,2.57
UKR,cereals and tubers,1710.35
UKR,"meat, fish and eggs",4437.93
UKR,milk and dairy,1434.02
UKR,miscellaneous food,122.86
UKR,non-food,2254.725
UKR,oil and fats,1092.68
UKR,vegetables and fruits,391.12
YEM,cereals and tubers,1711.08
YEM,"meat, fish and eggs",50626.84
YEM,miscellaneous food,441.63
YEM,non-food,15936.77
YEM,oil and fats,581.32
YEM,pulses and nuts,1957.69
YEM,vegetables and fruits,800.12
ZAF,cereals and tubers,8.17
ZMB,cereals and tubers,852.388
ZMB,non-food,15.33
ZMB,pulses and nuts,1299.4
ZWE,cereals and tubers,0.93203
ZWE,"meat, fish and eggs",5.21668
ZWE,miscellaneous food,1.1296599999999999
ZWE,non-food,1.777806
ZWE,oil and fats,0.81082
ZWE,pulses and nuts,0.97888
