country,category,sumPrice,meanPrice
KGZ,"meat, fish and eggs",3462.9,3.4873111782477344
KGZ,milk and dairy,1472.82,1.9507549668874171
KGZ,miscellaneous food,393.27,0.6425980392156863
KGZ,non-food,241.48,0.5832850241545894
KGZ,oil and fats,1288.56,3.112463768115942
KGZ,pulses and nuts,776.42,1.307104377104377
KGZ,vegetables and fruits,1618.14,1.0113375
KHM,cereals and tubers,403.01,0.5075692695214106
KHM,"meat, fish and eggs",11895.6,2.870559845559846
KHM,miscellaneous food,138.81,0.26591954022988507
KHM,oil and fats,3200.44,6.426586345381526
KHM,pulses and nuts,24.189999999999998,0.6719444444444443
KHM,vegetables and fruits,2373.69,0.6496141215106732
LAO,cereals and tubers,715.59,0.6934011627906977
LAO,"meat, fish and eggs",7597.594,4.51163539192399
LAO,miscellaneous food,146.81,0.853546511627907
LAO,non-food,355.44,1.0332558139534884
LAO,oil and fats,525.03,1.5262499999999999
LAO,vegetables and fruits,290.44,1.6886046511627908
LBN,cereals and tubers,6979.21,6.006204819277109
LBN,"meat, fish and eggs",15537.308,14.741278937381406
LBN,milk and dairy,12068.12,24.78053388090349
LBN,miscellaneous food,15525.97,23.48860816944024
LBN,non-food,67676.95,71.38918776371308
LBN,oil and fats,25277.43,93.27464944649446
LBN,pulses and nuts,13607.09,13.716824596774194
LBN,vegetables and fruits,336.03000000000003,3.0272972972972974
LBY,cereals and tubers,1238.44,0.5568525179856115
LBY,"meat, fish and eggs",6624.23,3.813603914795624
LBY,milk and dairy,673.08,0.7718807339449542
LBY,miscellaneous food,1307.22,0.749552752293578
LBY,non-food,570.335,0.8253762662807526
LBY,oil and fats,724.39,1.6614449541284404
LBY,pulses and nuts,474.2,0.5438073394495413
LBY,vegetables and fruits,496.34000000000003,0.5691972477064221
LKA,cereals and tubers,19.84,0.5362162162162162
LKA,"meat, fish and eggs",11.73,1.6757142857142857
LKA,miscellaneous food,12.13,1.7328571428571429
LKA,oil and fats,4.4399999999999995,2.2199999999999998
LKA,pulses and nuts,6.7700000000000005,0.9671428571428572
LKA,vegetables and fruits,20.72,0.6278787878787878
LSO,cereals and tubers,1494.54,4.900131147540984
LSO,oil and fats,162.41,1.7277659574468085
LSO,pulses and nuts,205.94,1.0507142857142857
MDG,cereals and tubers,807.279,0.5866853197674419
MDG,oil and fats,548.68,1.9251929824561402
MDG,pulses and nuts,243.44,0.8852363636363636
MEX,cereals and tubers,49.01,0.7425757575757576
MEX,pulses and nuts,71.71000000000001,1.2805357142857143
MLI,cereals and tubers,2712.76,0.5688320402600127
MLI,"meat, fish and eggs",153071.559,72.78723680456491
MLI,milk and dairy,896.58,2.819433962264151
MLI,miscellaneous food,456.73,0.5424346793349168
MLI,non-food,1334.4,3.430334190231363
MLI,oil and fats,717.79,1.993861111111111
MLI,pulses and nuts,1604.89,1.0851183231913455
MLI,vegetables and fruits,950.715,1.2126466836734695
MMR,cereals and tubers,323.75,0.4726277372262774
MMR,"meat, fish and eggs",635.84,0.9663221884498481
MMR,miscellaneous food,184.649,0.26838517441860466
MMR,oil and fats,1250.17,1.6803360215053764
MMR,pulses and nuts,860.21,1.2377122302158274
MMR,vegetables and fruits,1026.067,0.8079267716535433
MNG,cereals and tubers,52.52,0.5099029126213592
MNG,"meat, fish and eggs",346.06,3.681489361702128
MNG,milk and dairy,35.88,0.8154545454545455
MOZ,cereals and tubers,14106.18,6.272200978212539
